bearing_1_rms,bearing_1_mean,bearing_1_std,bearing_1_peak,bearing_1_kurtosis,bearing_1_skewness,bearing_2_rms,bearing_2_mean,bearing_2_std,bearing_2_peak,bearing_2_kurtosis,bearing_2_skewness,bearing_3_rms,bearing_3_mean,bearing_3_std,bearing_3_peak,bearing_3_kurtosis,bearing_3_skewness,bearing_4_rms,bearing_4_mean,bearing_4_std,bearing_4_peak,bearing_4_kurtosis,bearing_4_skewness,label,timestamp
0.07417899856512623,-0.01019599609375,0.07347493104305192,0.454,0.6292092021170044,0.08399958785126888,0.09094388696428075,-0.012694970703124999,0.09005347464156324,0.513,0.5072173154173503,0.1269241568303091,0.10940413919878957,-0.014540966796874999,0.10843350938911966,1.023,3.214152274173136,0.2048547207228252,0.05410346803954669,-0.0100259765625,0.0531663902091768,0.264,0.06626818324395556,-0.022081626174507756,0,2004.02.12.10.32.39
0.07538245681139528,-0.002585009765625,0.07533812128951384,0.388,0.6487424093070309,0.05214572667612899,0.09341888819652586,-0.0025609375,0.09338377948549788,0.481,0.25336857715620775,0.07009358328038572,0.10981733168262023,-0.002460791015625,0.10978975747066774,0.752,1.3958836610410428,-0.02385532339078759,0.05610085870694182,-0.0037836914062500003,0.055973118789277056,0.249,0.10785861691652521,0.0015825305277780435,0,2004.02.12.10.42.39
0.07622977446919937,-0.002483984375,0.0761892927992494,0.503,0.5138937170258213,0.032810401269489885,0.0937178978891739,-0.0016954589843749999,0.0937025602830463,0.503,0.3111581440741853,0.09658963755889906,0.10986104971344769,-0.0015954589843749998,0.10984946406227844,0.933,2.6408855204707855,0.05656480933401432,0.0561452192491155,-0.0034853515625,0.05603693397230999,0.354,0.25759225164595856,0.07045422079153565,0,2004.02.12.10.52.39
0.07872367646602975,-0.002276611328125,0.07869075089989153,0.608,1.1585285019885925,0.04148900052311137,0.09294709910708282,-0.0023928222656249996,0.09291629369506194,0.569,0.23569123274196802,0.10584179266902947,0.11066653439923697,-0.00314794921875,0.1106217530671688,1.016,2.683727234246086,0.03355254240006893,0.05680743024340545,-0.0037407714843749997,0.05668413146164508,0.525,0.8066799630828454,-0.03632975794465487,0,2004.02.12.11.02.39
0.07847429073677968,-0.002403857421875,0.07843746411081838,0.391,0.6036172404933771,0.028226011745099366,0.09534796855424806,-0.0015590332031250001,0.09533522183796202,0.486,0.22665708176227817,0.09797280920516767,0.1075055998723148,-0.0011584960937499995,0.10749935762927618,0.771,1.5790730960190702,-0.002892370319430961,0.05684094146786386,-0.002702587890625,0.056776655815982784,0.244,0.1392807530055893,0.019008908978286703,0,2004.02.12.11.12.39
0.07831464139380724,-0.001623095703125,0.07829782000144782,0.439,0.45649801800150724,0.026854939255925678,0.09240471945595839,-0.0014525878906250002,0.09239330152210377,0.574,0.18597595285347124,0.06080908807076739,0.11051722747318346,-0.000841552734375,0.11051402335158485,0.862,1.8631759534616679,0.07741970750187097,0.05556592676089255,-0.002821826171875,0.05549422955454554,0.247,0.14973684717131386,0.012742507780875108,0,2004.02.12.11.22.39
0.07863244325857172,-0.0016064453124999996,0.07861603186545633,0.408,0.47902487148877615,0.058598871147554674,0.09391848531980072,-0.0016959472656250002,0.09390317165909703,0.583,0.25046249388678055,0.09922112176307525,0.10738791213109138,-0.00185634765625,0.10737186617198258,0.896,1.8227709151486193,0.14562742561624606,0.05627907668624504,-0.0029048828125,0.05620405793625485,0.239,0.10811310227420368,-0.019776197834299153,0,2004.02.12.11.32.39
0.07777288022464836,-0.00202666015625,0.07774646967579023,0.415,0.47239073136216847,0.08258786699415814,0.09324051612714428,-0.0017436523437500003,0.09322421104069685,0.41,0.10406880934712115,0.08691918923673132,0.10623263552958902,-0.0017033203125000004,0.10621897924323846,0.776,1.4455422118991876,0.0014657348334241702,0.05550468422307368,-0.002330029296875,0.05545575654680791,0.229,0.2101352581613054,-0.017150115913304793,0,2004.02.12.11.42.39
0.07902942984262255,-0.0019162109375,0.07900619543360511,0.386,0.4049061226193671,-0.008060884119540321,0.09585924383650357,-0.0008009765624999998,0.09585589739527024,0.613,0.45182966369909083,0.035306600504127865,0.11058641872246056,-0.0013142089843750002,0.1105786094170331,0.967,2.3854293517720926,0.034163821427418375,0.05585509861253156,-0.0025391113281250004,0.05579735616208901,0.33,0.1601693671670632,0.008343263058272585,0,2004.02.12.11.52.39
0.07571755989830316,-0.002096630859375,0.07568852631669241,0.378,0.3255757503276313,0.04632445991869035,0.09474187125009063,-0.00171689453125,0.09472631335134558,0.466,0.19637325275036277,0.08951999524187923,0.10977074854590418,-0.001896240234375,0.10975436897591669,0.781,1.4621556350451819,0.006299762749435811,0.0554596132439803,-0.0027732910156249998,0.05539022980738145,0.291,0.20645000137348513,0.029687700895127525,0,2004.02.12.12.02.39
